subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
8	 202	 17	 0	 2	 2	 3	 0	 0	 1	 0	 1994.66	 
8	 203	 15	 0	 2	 1	 5	 0	 0	 2	 0	 793.42	 
8	 204	 1	 0	 0	 0	 2	 1	 0	 0	 0	 132.53	 
8	 205	 11	 0	 1	 2	 2	 1	 0	 0	 0	 665.14	 
8	 206	 18	 1	 2	 2	 9	 0	 1	 1	 0	 132.98	 
8	 207	 17	 0	 2	 2	 5	 0	 0	 2	 0	  66.54	 
8	 208	 3	 0	 0	 1	 16	 1	 2	 1	 0	 98219.26	 
8	 209	 10	 1	 1	 1	 10	 1	 1	 1	 0	 203.63	 
8	 210	 1	 0	 0	 0	 8	 1	 1	 0	 0	 1474.05	 
8	 211	 16	 1	 2	 1	 11	 0	 1	 2	 0	 1330.03	 
8	 212	 13	 0	 2	 0	 8	 1	 1	 0	 0	 1329.30	 
8	 213	 18	 1	 2	 2	 12	 1	 1	 2	 0	 1340.60	 
8	 214	 10	 1	 1	 1	 15	 0	 2	 1	 0	 1270.62	 
8	 215	 10	 1	 1	 1	 2	 1	 0	 0	 0	 999.07	 
8	 216	 18	 1	 2	 2	 14	 1	 2	 0	 1	 1134.53	 
8	 217	 5	 0	 0	 2	 7	 0	 1	 0	 0	 1327.11	 
8	 218	 14	 1	 2	 0	 13	 0	 2	 0	 1	 1193.93	 
8	 219	 6	 1	 0	 2	 1	 0	 0	 0	 1	 1139.08	 
8	 220	 2	 1	 0	 0	 2	 1	 0	 0	 1	 1126.27	 
8	 221	 14	 1	 2	 0	 9	 0	 1	 1	 0	 1068.70	 
8	 222	 2	 1	 0	 0	 11	 0	 1	 2	 0	 5111.34	 
8	 223	 14	 1	 2	 0	 3	 0	 0	 1	 1	 2600.62	 
8	 224	 17	 0	 2	 2	 16	 1	 2	 1	 1	 1339.90	 
8	 225	 16	 1	 2	 1	 9	 0	 1	 1	 0	 1939.42	 
8	 226	 4	 1	 0	 1	 12	 1	 1	 2	 0	 1524.55	 
8	 227	 10	 1	 1	 1	 13	 0	 2	 0	 0	 1135.37	 
8	 228	 5	 0	 0	 2	 4	 1	 0	 1	 0	 1061.08	 
8	 229	 16	 1	 2	 1	 17	 0	 2	 2	 1	 1531.60	 
8	 230	 18	 1	 2	 2	 7	 0	 1	 0	 0	 1204.38	 
8	 231	 15	 0	 2	 1	 12	 1	 1	 2	 0	 1061.18	 
8	 232	 9	 0	 1	 1	 5	 0	 0	 2	 0	 661.82	 
8	 233	 5	 0	 0	 2	 18	 1	 2	 2	 0	 1601.82	 
8	 234	 9	 0	 1	 1	 17	 0	 2	 2	 1	 2062.60	 
8	 235	 9	 0	 1	 1	 9	 0	 1	 1	 0	 1061.29	 
8	 236	 6	 1	 0	 2	 15	 0	 2	 1	 0	 1796.46	 
8	 237	 9	 0	 1	 1	 10	 1	 1	 1	 1	 930.03	 
8	 238	 17	 0	 2	 2	 15	 0	 2	 1	 1	 995.85	 
8	 239	 7	 0	 1	 0	 8	 1	 1	 0	 1	 862.44	 
8	 240	 1	 0	 0	 0	 12	 1	 1	 2	 0	 3943.72	 
8	 241	 9	 0	 1	 1	 1	 0	 0	 0	 0	 1124.01	 
8	 242	 4	 1	 0	 1	 13	 0	 2	 0	 0	 4099.83	 
8	 243	 1	 0	 0	 0	 18	 1	 2	 2	 0	 1999.24	 
8	 244	 8	 1	 1	 0	 14	 1	 2	 0	 0	 1138.84	 
8	 245	 14	 1	 2	 0	 14	 1	 2	 0	 0	 1868.34	 
8	 246	 11	 0	 1	 2	 4	 1	 0	 1	 0	 1470.58	 
8	 247	 4	 1	 0	 1	 8	 1	 1	 0	 0	 1824.37	 
8	 248	 11	 0	 1	 2	 9	 0	 1	 1	 0	 860.96	 
8	 249	 11	 0	 1	 2	 13	 0	 2	 0	 0	 1391.37	 
8	 250	 14	 1	 2	 0	 2	 1	 0	 0	 0	 1210.13	 
8	 251	 3	 0	 0	 1	 8	 1	 1	 0	 0	 1134.70	 
8	 252	 3	 0	 0	 1	 9	 0	 1	 1	 0	 1391.55	 
8	 253	 3	 0	 0	 1	 10	 1	 1	 1	 0	 4117.95	 
8	 254	 14	 1	 2	 0	 5	 0	 0	 2	 0	 1866.80	 
8	 255	 15	 0	 2	 1	 2	 1	 0	 0	 0	 1072.15	 
8	 256	 1	 0	 0	 0	 10	 1	 1	 1	 0	 3247.93	 
8	 257	 6	 1	 0	 2	 17	 0	 2	 2	 0	 1540.96	 
8	 258	 14	 1	 2	 0	 8	 1	 1	 0	 0	 1002.65	 
8	 259	 10	 1	 1	 1	 16	 1	 2	 1	 0	 1134.45	 
8	 260	 7	 0	 1	 0	 17	 0	 2	 2	 0	 872.47	 
8	 261	 13	 0	 2	 0	 5	 0	 0	 2	 0	 1204.98	 
8	 262	 15	 0	 2	 1	 7	 0	 1	 0	 0	 1797.16	 
8	 263	 8	 1	 1	 0	 18	 1	 2	 2	 0	 1330.15	 
8	 264	 17	 0	 2	 2	 9	 0	 1	 1	 0	 1193.28	 
8	 265	 2	 1	 0	 0	 12	 1	 1	 2	 0	 1657.50	 
8	 266	 14	 1	 2	 0	 15	 0	 2	 1	 1	 723.05	 
8	 267	 5	 0	 0	 2	 17	 0	 2	 2	 0	 1193.47	 
8	 268	 4	 1	 0	 1	 7	 0	 1	 0	 0	 659.27	 
8	 269	 4	 1	 0	 1	 17	 0	 2	 2	 0	 994.80	 
8	 270	 16	 1	 2	 1	 4	 1	 0	 1	 0	 998.26	 
8	 271	 11	 0	 1	 2	 12	 1	 1	 2	 0	 734.10	 
8	 272	 15	 0	 2	 1	 10	 1	 1	 1	 0	 927.29	 
8	 273	 3	 0	 0	 1	 13	 0	 2	 0	 0	 399.66	 
8	 274	 8	 1	 1	 0	 7	 0	 1	 0	 0	 193.58	 
8	 275	 11	 0	 1	 2	 8	 1	 1	 0	 0	 594.00	 
8	 276	 5	 0	 0	 2	 8	 1	 1	 0	 0	 1124.85	 
8	 277	 5	 0	 0	 2	 11	 0	 1	 2	 0	 3336.58	 
8	 278	 14	 1	 2	 0	 11	 0	 1	 2	 0	 2655.14	 
8	 279	 3	 0	 0	 1	 3	 0	 0	 1	 1	 2261.54	 
8	 280	 11	 0	 1	 2	 10	 1	 1	 1	 0	 4321.75	 
8	 281	 9	 0	 1	 1	 12	 1	 1	 2	 0	 4253.79	 
8	 282	 7	 0	 1	 0	 9	 0	 1	 1	 1	 1674.15	 
8	 283	 2	 1	 0	 0	 9	 0	 1	 1	 0	 4024.12	 
8	 284	 7	 0	 1	 0	 18	 1	 2	 2	 0	 1139.09	 
8	 285	 17	 0	 2	 2	 4	 1	 0	 1	 0	 1332.66	 
8	 286	 13	 0	 2	 0	 17	 0	 2	 2	 0	 1062.55	 
8	 287	 12	 1	 1	 2	 7	 0	 1	 0	 1	 1738.40	 
8	 288	 2	 1	 0	 0	 16	 1	 2	 1	 1	 3503.15	 
8	 289	 16	 1	 2	 1	 3	 0	 0	 1	 0	 1196.89	 
8	 290	 15	 0	 2	 1	 1	 0	 0	 0	 0	 1325.08	 
8	 291	 18	 1	 2	 2	 3	 0	 0	 1	 0	 1792.07	 
8	 292	 2	 1	 0	 0	 3	 0	 0	 1	 0	 1060.21	 
8	 293	 17	 0	 2	 2	 2	 1	 0	 0	 0	 1130.60	 
8	 294	 5	 0	 0	 2	 10	 1	 1	 1	 0	 1066.50	 
8	 295	 15	 0	 2	 1	 15	 0	 2	 1	 1	 1190.39	 
8	 296	 16	 1	 2	 1	 1	 0	 0	 0	 0	 2285.00	 
8	 297	 1	 0	 0	 0	 9	 0	 1	 1	 0	 2024.11	 
8	 298	 7	 0	 1	 0	 14	 1	 2	 0	 0	 1271.46	 
8	 299	 17	 0	 2	 2	 17	 0	 2	 2	 1	 1129.36	 
8	 300	 3	 0	 0	 1	 6	 1	 0	 2	 1	 1071.75	 
8	 301	 9	 0	 1	 1	 6	 1	 0	 2	 0	 1058.55	 
8	 302	 7	 0	 1	 0	 4	 1	 0	 1	 0	 1065.81	 
8	 303	 9	 0	 1	 1	 7	 0	 1	 0	 1	 2219.03	 
8	 304	 8	 1	 1	 0	 5	 0	 0	 2	 0	 858.85	 
8	 305	 11	 0	 1	 2	 5	 0	 0	 2	 0	 865.50	 
8	 306	 13	 0	 2	 0	 14	 1	 2	 0	 1	 1271.17	 
8	 307	 18	 1	 2	 2	 18	 1	 2	 2	 1	 2315.11	 
8	 308	 13	 0	 2	 0	 2	 1	 0	 0	 1	 3058.11	 
8	 309	 6	 1	 0	 2	 12	 1	 1	 2	 0	 1724.44	 
8	 310	 18	 1	 2	 2	 2	 1	 0	 0	 0	 2377.43	 
8	 311	 1	 0	 0	 0	 17	 0	 2	 2	 0	 2457.86	 
8	 312	 9	 0	 1	 1	 3	 0	 0	 1	 0	 1255.56	 
8	 313	 8	 1	 1	 0	 9	 0	 1	 1	 1	 1137.22	 
8	 314	 5	 0	 0	 2	 2	 1	 0	 0	 1	 1395.86	 
8	 315	 3	 0	 0	 1	 18	 1	 2	 2	 0	 999.80	 
8	 316	 18	 1	 2	 2	 16	 1	 2	 1	 1	 2662.71	 
8	 317	 17	 0	 2	 2	 11	 0	 1	 2	 0	 1468.31	 
8	 318	 4	 1	 0	 1	 10	 1	 1	 1	 0	 2799.93	 
8	 319	 8	 1	 1	 0	 15	 0	 2	 1	 0	 1129.95	 
8	 320	 1	 0	 0	 0	 3	 0	 0	 1	 0	 2007.49	 
8	 321	 1	 0	 0	 0	 15	 0	 2	 1	 1	 1200.72	 
8	 322	 9	 0	 1	 1	 4	 1	 0	 1	 1	 529.45	 
8	 323	 15	 0	 2	 1	 6	 1	 0	 2	 1	  61.24	 
8	 324	 12	 1	 1	 2	 4	 1	 0	 1	 1	  76.84	 
